,subject_code,subject_name,text,answer1,answer2,answer3,answer4,correct_1_to_4
204,ICT2,ИКТ2,Explain the point of having two different career paths in information systems,to allow for career growth for those who do not want to manage other employees but instead want to focus on technical skills,to allow for career growth for those who want to manage other employees and want to focus on technical skills,to allow for career growth for those who do not want to manage other employees and focus on general information,to allow for career growth for those who do not want to work with employees and discuss the details,1
205,ICT2,ИКТ2,Fair use is...,is a limitation on copyright law that allows for the use of protected works with agreed payment,is a limitation on copyright law that allows for the use of protected works without prior authorization in specific cases,is a limitation on copyright law that does not allow for the use of protected works,is restrictions on the use of protected materials,2
206,ICT2,ИКТ2,Fair use was created to allow all of the following except:,parody,news reporting,derivative work,commentary,3
207,ICT3,ИКТ3,From options below choose output devices,"projector, monitor, headphones","printer, loudspeakers, motherboard","keyboard, mouse, scanner","modem, plotter, CPU",1
208,ICT3,ИКТ3,From options below define input devices,"printer, monitor, loudspeaker","touch screen, scan, microphone","CPU, plotter, mouse","motherboard, RAM",2
209,ICT3,ИКТ3,From the options below choose the structured decision making,personnel management,sales order processing,new product line,selecting media device,2
210,ICT3,ИКТ3,From variants below choose one that compensates for the limited storage of electronic devices?,Wide distribution,Permanent internet access,Using “cloud” technologies,Multifunctionality of devices,3
211,ICT3,ИКТ3,Gigahertz (GHz) is,one billion cycles per second,one million cycles per second,one thousand cycles per second,one cycle per second,1
212,ICT3,ИКТ3,How are nanobots used in medicine?,they facilitate surgeon in trepanation of skull and detection of brain diseases,they are introduced into the human body to combat cancer or a specific disease,they are introduced into the human body for detection of mental disease,nanobots are able to function on quantum level and perform task,2
213,ICT3,ИКТ3,How does a firewall work?,checks floppy disks and CDs for corrupted files,scans for viruses on your system,protects your computer from Internet intrusion,protects against power surges,3
214,ICT3,ИКТ3,How does the switch differ from the hub?,"Switch filters the packets and delivers them to a specific device, while the hub sends data to all devices in the network",Hub connects networks with different protocols,"Hub prevents duplication of information, while hub doesn’t filter data",Hub provides Internet connection through broadband wires,1
215,ICT3,ИКТ3,How is HTML related to cascading style sheets (CSS) in website design?,CSS is used to required to redesign of a web page,"As a tool of Integrated Development Environment, HTML and CSS both is used to improve of a web page","HTML is used to design of a web page, while CSS provides tools for programming","CSS are used to define the styles of the components on an page: HTML is used to define the components of a web page,",4
216,ICT3,ИКТ3,How many bits the first personal computers could process?,16,40,8,32,3
217,ICT3,ИКТ3,How many bytes in one terabyte?,One billion bytes,One thousand bytes,One trillion bytes,One million bytes,3
218,ICT3,ИКТ3,How many categories include Software?,1,2,3,4,2
219,ICT3,ИКТ3,How many essential functions does the operating system provide?,1,3,4,5,3
220,ICT3,ИКТ3,How many processors in quad-core?,Two,Three,Four,Six,3
221,ICT3,ИКТ3,How the IBM PC was named in Time magazines for 1982?,“New technology’s Era”,“The best choice”,“The PC of the world”,“The Man of the Year”,4
222,ICT3,ИКТ3,How will advances in wireless technologies and sensors make objects “findable”?,they will allow to print virtually any object based on a model of that object designed on a computer,they will allow physical objects to find them by sending and receiving data about themselves,they will simplify sharing data with each other for mutual benefit,they could be used to track people's health conditions,2
223,ICT3,ИКТ3,In … different functions of the new application are used as functions from the old system are turned off,pilot implementation,direct cutover,parallel implementation,phased implementation,4
224,ICT3,ИКТ3,In what situations the quantitative data can be considered as qualitative?,Numbers of missed days,Student’s age,Employee ID,GPA,3
225,ICT3,ИКТ3,In which years computers were seen as a way to more efficiently do calculations?,From 1940s to 1960s,From the early 1960s trough the 1970s,From the late 1950s through the 1960s,From the late 1980s to 1990s,3
226,ICT3,ИКТ3,Information Security Triad includes ...,"Complexity, Intensity, Absoluteness","Confidentiality, Integrity, Availability","Coincidence, Integrate, Availity","Confidentiality, Interconnection, Accessibility",2
227,ICT1,ИКТ1,Kilohertz (abbreviated KHz) it is,one cycle per second,one million cycles per second,one thousand cycles per second,billion cycles per second,3
228,ICT1,ИКТ1,MacOS is an example of what information system component?,A hardware,A data,A people,A software,4
229,ICT1,ИКТ1,Patent law protects,Inventions that feature some sort of utility function and Designs of a manufactured good,Plants that may be reproduced through seeds,Inventions that feature some sort of utility function,Designs of a manufactured good,1
230,ICT1,ИКТ1,Process of analyzing related tables to achieve minimal duplication and maximum flexibility,normalization,reduplication,denomination,redundancy,1
231,ICT1,ИКТ1,Summarize Carr’s argument in “Does IT Matter.”,Information technology is now a commodity and can be used to provide an organization with competitive advantage,Information technology is now a commodity and cannot be used to provide an organization with competitive advantage,"It is different because it shows that IT can bring a competitive advantage, given the right conditions. It is the same in the sense that it shows that IT, by itself, does not bring competitive advantage",A company is said to have a competitive advantage over its rivals when it is able to sustain profits that exceed average for the industry.,2
232,ICT1,ИКТ1,System database administrator ...,aligns plans and operations of the information systems with the strategic goals of the organization,controls the mainframe computers and data centers in organizations,creates and maintains databases that are used as an part of applications or the data warehouse,supports computer users in the company,3
233,ICT1,ИКТ1,The task of the Creative Commons organization,save patent for a long time,make a patent originally,save a patent for creators,provide legal tools for a artist and authors,4
234,ICT1,ИКТ1,The … refers to the idea of physical objects being connected to the Internet,Internet of Things,Tracking behavior,Enhanced situational awareness,Process optimization,1
235,ICT1,ИКТ1,The collection of two or more computers that are located within a limited distance of each other and that are connected to each other directly or indirectly is called ...,Local Area Network,Wide Area Network,Personnel Area Network,Intranet,1
236,ICT1,ИКТ1,The core of a Customer Relationship Management program is:,customer relationships,customer database,customer acquisition,Just-in-time (JIT) analysis,2
237,ICT2,ИКТ2,The core of this architecture PC is,central progres unit,central processing unit,Advanced Micro Devices,memory,2
238,ICT2,ИКТ2,Customer Relationship Management (CRM) is used to:,understand customer responses to marketing and sales campaigns,"identify the products, services that have value to the consumer.",understand the value perception of the consumer segment and how to work with them,deal effectively with all of the above.,4
239,ICT2,ИКТ2,The Digital Millennium Copyright Act:,Allows third-party sites not to be held liable when someone posts any information from a copyrighted work,Establishes compulsory licensing for the transmission of music over the Internet,Prevents the circumvention of technological measures designed to protect copyrighted works,Аll answers are correct,4
240,ICT2,ИКТ2,The divide where Nielsen wrote that people don’t know the potential that digital device can give them,Accessible divide,Empowerment Divide,Usability divide,Digital divide,2
241,ICT2,ИКТ2,The idea of Moore’s Law is,the number of transistors on a chip will double every two years,computing power will triple every two years for the same price point,the growth of the number of computers does not affect its price,computer power doubles transistors cost,1
242,ICT2,ИКТ2,The new era of globalization allows any business to become ...,international,unique,multifunctional,multifaceted,1
243,ICT2,ИКТ2,The process of using software to simulate a computer or some over device is called ...,Simulation,Visualization,Globalization,Virtualization,4
244,ICT2,ИКТ2,The speed (“clock time”) of a CPU is measured in ...,hertz,kilohertz,megahertz,gigahertz,1
245,ICT2,ИКТ2,There are two primary manufacturers of CPUs for personal computers:,Intel and iOS,iOS and Advanced Micro Devices,Intel and Advanced Micro Devices,iOS and Devices,3
246,ICT2,ИКТ2,This provision limits the liability of online service providers when someone using their services commits copyright infringement and save owners rights,the anti-circumvention provision,safe harbor,the anti-hucking provision,the copyright provision,2
247,ICT3,ИКТ3,Trademark law protects …,only brand names and logos,"original works of authorship including literary, dramatic, musical, and artistic works","words, symbols or devices that differentiate goods or services from one another",names of specific people and places,3
248,ICT3,ИКТ3,Usability divide is,growth of the prices for new technologies made it inaccessible to ordinary citizens,technology remains so complicated that many people couldn't use a computer even if they got one for free,"because of user-friendly interface, people of any age can equally use new technologies","everybody can access digital technologies, such as smartphones, laptops, so on",2
249,ICT3,ИКТ3,User is downloading new music and videos on. What component is described in an example?,a people,a process,a hardware,a software,2
250,ICT3,ИКТ3,"We can use supply-chain management systems, which allow the suppliers to manage their own inventory in ...",Sale/marketing processes,Operation processes,Technology development processes,Outbound logistic processes,4
251,ICT3,ИКТ3,What are the duties of a network engineer?,"to understand the networking requirements of an organization and then design an communications system to meet those needs, using the networking hardware and software available",to look for problems among the organization and solve them with the help of Information Systems,to adapt to your ideas and opinions,to engage in programming and translating other people's ideas,1
252,ICT3,ИКТ3,What are the duties of system analyst?,reengineering an existing component to work faster or use less power,writing computer code in a programming language,identifying business needs and imagining a new redesigned computer-based system to fulfill company's needs,design a communications system to meet organization needs,3
253,ICT3,ИКТ3,What are of components of an information system?,Hardware – People – Data – Robots – Process,Hardware –Software – Data – People – Process,Software – Data – People – Mobile Phones – Applications,Data – Applications – Process – People – Technologies,2
254,ICT3,ИКТ3,What are the advantages of solid-state drives over hard disks?,The main advantage is speed: an SSD has much slower data-access speeds than a traditional hard disk.,The main advantage is speed: an SSD has much faster data-access speeds than a motherboard,The main advantage is speed: an SSD has much slower data-access speeds than a motherboard,The main advantage is speed: an SSD has much faster data-access speeds than a traditional hard disk.,4
255,ICT3,ИКТ3,What are two good examples of a complex password?,"It is examples of passwords that are a minimum of eight characters, with at least one upper-case letter, one special character, and one number.",It is examples of passwords that are a minimum of eight characters and one number.,"It is examples of passwords that are a minimum of eight characters, with at least one upper-case letter/","It is examples of passwords that are a minimum of eight characters, with at least, one special character, and one number.",1
256,ICT3,ИКТ3,What can 3D printer be used for?,prototyping and creating artificial organs and parts of the body,to save and improve the environment,improving the environment,increasing computer literacy,1
257,ICT1,ИКТ1,What can be thought of as the “brains” of the device,to save and improve the environment,prototyping and creating artificial organs and parts of the body,improving the environment,increasing computer literacy,2
258,ICT1,ИКТ1,What determines the best way for a packet to be forwarded to its destination,Switch,Bridge,Router,Packet-switching,3
259,ICT1,ИКТ1,What device provides emergency power to a load allowing IT staff to shut computers down in a proper way and prevent the data loss?,UPS,ACL,IDS,Router,1
260,ICT1,ИКТ1,What does CRM mean?,Customer relationship media,Computer relationship media,Customer relationship memory,Customer relationship management,4
261,ICT1,ИКТ1,What does Intellectual property mean?,legal designation for the ownership of the physical property,property that derives from the work of the mind or intellect,property that derives from the work of technology,capability of innovation,2
262,ICT1,ИКТ1,What does ISO certification signify?,"ISO certification shows that your desires, and have documented your processes","Organize around outcomes, not tasks","ISO certification shows that you know what you do, do what you say, and have documentd your processes",It is a software application with a centralized database that is implemented across the entire organization,3
263,ICT1,ИКТ1,What does it mean to say we are in a “post-PC world”?,The personal computer will no longer be the primary way that people interact and do business,The personal computer will be the primary way that people interact and do business,The personal computer will longer be the primary way that company interact and collect information,The Terminals connected to mainframe computer will be the primary way that people interact and do business,1
264,ICT1,ИКТ1,What does open-source software mean?,the software can be downloaded from open sources,it uses “cloud computing” technologies,the source code is written by independent programmers,The source code is available for anyone to copy and use,4
265,ICT1,ИКТ1,What does the term authentication mean?,It's a method of confirming a user's claimed identity in which a user is granted access only after successfully presenting 2 or more factors,The process of ensuring that a person is who he or she claims to be.,the assurance that the information being accessed has not been altered and truly represents what is intended.,information can be accessed and modified by anyone authorized to do so in an appropriate timeframe.,2
266,ICT1,ИКТ1,What does the type of DIMM accepted into a computer is dependent?,CPU,Hard Disk,motherboard,SSD,3
267,ICT2,ИКТ2,What does wireless networking mean?,It is a common type of wired configuration,It is a computer network that uses wireless data connections between network nodes,It is a large network which involves multiple routes that connect to each other,It is a type of networking that uses Internet cables to transfer data between connected PCs,2
268,ICT2,ИКТ2,"What era Applications was Microsoft, Word, Microsoft Excel",Mainframe,Client-Server,World Wide Web,Web 2.0,2
269,ICT2,ИКТ2,What era IBM PC “clone” connected to a company intranet.,Mainframe,PC,World Wide Web,Client-Server,3
270,ICT2,ИКТ2,What era Operating System was MS-DOS,Mainframe,PC,Client-Server,World Wide Web,2
271,ICT2,ИКТ2,What era terminals were connected to the mainframe computer?,PC,Client-Server,Mainframe,World Wide Web,3
272,ICT2,ИКТ2,What force of Porter’s forces analyzes the influence of buyers on the product?,Threat of substitution,Bargaining power of client,Bargaining power of customers,Barriers to entry,3
273,ICT2,ИКТ2,"""What gave the boost to the development of the Internet?""",launch of satellite Sputnik,developing NSF,growth of popularity of worldwide network,creation TCP/IP,4
274,ICT2,ИКТ2,What implementation methodology assumes that the organization selects a particular date that the old system is not going to be used anymore?,parallel operation,pilot implementation,direct cutover,one-time implementation,3
275,ICT2,ИКТ2,What is the difference between RAM and hard disk?,"The hard disk is removable, while RAM cannot be replaced",RAM is volatile; the hard disk is non-volatile,RAM can transfer data much slower than the hard disk,The hard disk is more expensive than RAM,2
276,ICT2,ИКТ2,What is a disadvantage of customizing an ERP system?,organizations have to maintain the changes themselves,long process of  implementing changes,system does not cover all business processes,maintenance of such systems must be performed by specialist,1
277,ICT3,ИКТ3,What is a firewall?,A hardware firewall is a device that is connected to the network and filters the packets based on a set of rules.,A software firewall runs on the operating system and intercepts packets as they arrive to a computer.,A hardware firewall is a device that is connected to the network and filters the packets based on a set of rules. A software firewall runs on the operating system and intercepts packets as they arrive to a computer.,A hardware firewall is a device that is  runs on the operating system and intercepts packets as they arrive to a computer. A software firewall connected to the network and filters the packets based on a set of rules.,3
278,ICT3,ИКТ3,What is a patent for?,it allows inventors to popularize their inventions,it provides the inventor with protection from others infringing on his or her patent,it helps scientists get a grant for research,It encourages the inventor to study on new projects,2
279,ICT3,ИКТ3,What is a third personal-computer operating system family that is gaining in popularity?,Microsoft Windows,Apple’s OS X,Linux,Neither,3
280,ICT3,ИКТ3,What is an ERP for?,to standardize incoming data,to increase competitive advantage,to organize enterprise workflow,to centralize enterprise database,4
281,ICT3,ИКТ3,What is at the heart of an ERP system?,Database,Well-established network,Information,Employees,1
282,ICT3,ИКТ3,What is BPR?,Information system used for managing business process documentation and tracking changes in documents,BPR is fully understanding the goals of a process and then dramatically redesigning it from the ground up to achieve dramatic improvements in productivity and quality,"Activity undertaken by businesses to identify, evaluate, and improve business processes",BPR is fully understanding the goals of a process and then dramatically redesigning it from the ground up to achieve dramatic improvements only in productivity,2
283,ICT3,ИКТ3,What is Business process reengineering for?,for automation of business processes,to rethink business process in order to increase organization profits,to redesign the way work in order to achieve an dramatic improvements in productivity and quality,to improve the efficiency of employees,3
284,ICT3,ИКТ3,What is the business process?,"A business process, therefore, is a process that is focused on achieving an goal for a business",Systematic starting over and reinventing the way a firm,A process is a series of tasks that are completed in order to accomplish a goal,It is a software application with a centralized database that can be used to run an entire company,1
285,ICT3,ИКТ3,What is Carr’s main argument about information technology?,That information technology is just a commodity and can be used to gain a competitive advantage.,That information technology is just a commodity and cannot be used to gain a competitive advantage.,That MS-DOS is just a commodity and cannot be used to gain a competitive advantage.,That IBM PC is just a commodity and cannot be used to gain a competitive advantage.,2
286,ICT3,ИКТ3,What is the Code of Ethics?,document that outlines the rules for effective working  for a professional or social group,document that outlines a set of acceptable behaviors for aт professional or social group,document that outlines a set of acceptable business requirements for a professional or social group,document that declines a set of acceptable working conditions for a professional or social group,2
287,ICT1,ИКТ1,What is a common security threat?,File corrupting,File Shredding,File sharing and permission,File integrity,3
288,ICT1,ИКТ1,What IS development methodology aims to manage large projects that include multiple programs and systems,RAD,Agile,SQL,SDLC,4
289,ICT1,ИКТ1,"What IS development methodology allows focussing on quickly building a working model of the software, getting feedback from users?",RAD,Agile,Lean,SDLC,1
290,ICT1,ИКТ1,What is the difference between the Word Wide Web and Web 2.0 eras?,"Users can log in to a local area network from their PC through means of ""server""","Users don’t need to have a special programming skills to put information online, because websites became more interactive",A computer viruses and worms grow with great speed via the Internet,Internet becomes a way for businesses to share information about themselves and promote services,2
291,ICT1,ИКТ1,What is globalization?,movement whose participants are opposed to capitalism and globalization,the action of interfering or the process of being interfered with,"globalization refers to the integration of goods. services, and cultures among the nations of the world",opposition to the increase in the global power and influence of businesses,3
292,ICT1,ИКТ1,What is Hardware Firewall?,It's a device that blocks unsafe applications from running on system,It's a device that provides protection against the most common Trojan programs,It's a device that is connected to the network and filters the packets based on a set of rules,It’s a device that protects computer from outside attempts to control or gain access to computer,4
293,ICT1,ИКТ1,What is Hardware?,The physical components of the technology,The set of instructions,The collection of facts,Series of steps undertaken to achieve a desired outcome,1
294,ICT1,ИКТ1,What is Information system?,"Information System is a science, which helps people to create a hardware and software","Information System is a theory about computers, data, people and process","Information System is a study of complementary networks of hardware and software that people and organizations use to collect, filter, process, create, and distribute data","Information System is a science, which studies robots, computers and people",3
295,ICT1,ИКТ1,"""What is Metcalfe’s Law?""",the cost of a telecommunications network is proportional to the cube of the number of connected users,the effect of a telecommunications network is proportional to the square of the number of connected computers in the system,the value of a telecommunications network is proportional to the square of the number of connected users of the system,the cost of a telecommunications network is proportional to the square of the computer power of the system,3
296,ICT1,ИКТ1,What is multi-factor authentication?,It is a method of confirming a user's claimed identity by utilizing a combination of one factor,It’s processes where the authentication is carried out via electronic methods to an information system,It's a method of confirming a user's claimed identity in which a user is granted access only after successfully presenting 2 or more factors,It's the function of specifying access permission to resources related to information security and computer security,3
297,ICT2,ИКТ2,What is pretexting?,Pretexting occurs when an attacker calls a helpdesk or security administrator and pretends to be a particular authorized user having trouble logging in.,"Pretexting occurs when an attacker calls a helpdesk or security administrator and pretends to be a particular authorized user having trouble logging in. Then, by providing some personal information about the authorized user,","Pretexting occurs when an attacker calls a helpdesk or security administrator and pretends to be a particular authorized user having trouble logging in. Then, by providing some personal information about the authorized user, then encrypt the information.","Pretexting occurs when an attacker calls a helpdesk or security administrator and pretends to be a particular authorized user having trouble logging in. Then, by providing some personal information about the authorized user, the attacker convinces the security person to reset the password and tell him what it is.",4
298,ICT2,ИКТ2,What is the role of the Information System?,The role of Information System is develop strategy to achieve a desired outcome or goal,"The role of Information System is to take a data and turn it into information, and then transform that into organizational knowledge",The role of information systems is to organize collection of fact,The role of Information System is to tell the hardware what to do.,2
299,ICT2,ИКТ2,What is the advantage of using a data warehouse?,The data warehouse creates a large database that allows to analyze trends in the market,"The data warehouse provides tools for storing, analyzing and processing data to increase the value of information","""The data warehouse provides a centralized view off all data to improve the security of company and customer data """,The data warehouse stores current and historical data in one database that is used for creating analytical reports for workers throughout the enterprise,4
300,ICT2,ИКТ2,What is the assurance that the information being accessed has not been altered and truly represents what is intended?,Integrity,Confidentiality,Availability,Neither,1
301,ICT2,ИКТ2,What is the bus of a computer?,The bus is the same as CPU,The bus is the same as WWW and Internet,The bus is the electrical connection between different computer components,The bus is the one of the inside device as SSD or CPU,3
302,ICT2,ИКТ2,What is the concept of the data warehouse?,Automate the sales process as well as storing and analyze sales data,"Create an environment in which various systems and processes including inventory, accounting and personnel are integrated under one software solution",Coordinate and manage their interactions with customers,Extract data from one or more of the organization’s databases and load it into the data warehouse for storage and analysis,4
303,ICT2,ИКТ2,What is the core of any information system?,Process,software,hardware,data,4
304,ICT2,ИКТ2,What is the definition of the motherboard?,It is a part of computer without any integrated components.,It is a large rectangular board with integrated circuitry that connects the rest of the parts of the computer,It is a program which is generally installed in a personal computer,It is a hard disk for long-term data storage,2
305,ICT2,ИКТ2,What is the difference between a spreadsheet and a database?,A spreadsheet more powerful with the ability to handle multiple types of data and link them together.,"A database has no defined field types, while a spreadsheet does.","A database uses a standardized query language, a spreadsheet does not.","A spreadsheet uses SQL to link multiple types of data, a database uses other programming languages",3
306,ICT2,ИКТ2,What is the difference between structured and unstructured decisions?,"Structured decisions have a clear algorithm of action, unstructured  is made by top-manager","Unlike the unstructured decision, the structured ones depends entirely on the human factor","A structured decision is usually one that is made quite often, while unstructured decisions are made for the first time","Contrasted with structured decisions, unstructured ones involves a few unknowns",3
307,ICT3,ИКТ3,What is the first line of defense when setting up a network?,Software Firewall,Authentication,Physical secure,Encryption,3
308,ICT3,ИКТ3,"What is the heart and brain of hardware, which computes and process data?",Random-Access Memory,A motherboard,CPU,A hard-disk,3
309,ICT3,ИКТ3,What is the name of the first microcomputer?,Altair 8000,Apple Lisa,Intel compute stick,Altair 8800,4
310,ICT3,ИКТ3,What is the process of analyzing raw data and turning into useful information?,Big Data,Data Mining,Reorganization,Data Warehouse,2
311,ICT3,ИКТ3,What is the process of converting data into a format that cannot be read by another user?,password security,decryption,registering,encryption,4
312,ICT3,ИКТ3,What is the process of identifying an individual?,log on,encryption,registration,authentication,4
313,ICT3,ИКТ3,What is the productivity paradox?,"The productivity paradox is based on Erik Brynjolfsson’s finding, based on research he conducted in the early 1988s, that the addition of information technology to business had not improved productivity at all.","The productivity paradox is based on Michael Porter’s finding, based on research he conducted in the early 1980s, that the addition of information technology to business had not improved productivity at all.","The productivity paradox is based on Nicholas Carr’s finding, based on research he conducted in the early 1990s, that the addition of information technology to business had not improved productivity at all.","The productivity paradox is based on Erik Brynjolfsson’s finding, based on research he conducted in the early 1990s, that the addition of information technology to business had not improved productivity at all.",4
314,ICT3,ИКТ3,What is the purpose of encryption?,"Keep and correct the transmitted data in secret, so that only those who have the corresponding key can read it.",To keep transmitted data secret so that only those with the proper key can read it.,"Keep, correct and encrypt the transmitted data in secret so that only those who have the any key can read it.",Keep and broadcast the transmitted data in secret so that only those who have the corresponding key can read it.,2
315,ICT3,ИКТ3,What is the reason for using Private cloud by organizations?,employees do not have to set up and maintain own cloud servers,customers only pay for the resources they use,increased an automation and user self-service,provide a organisation with greater control and information privacy,4
316,ICT3,ИКТ3,What is the safest way to authenticate?,Create a hard password,Do an multi-factor authentication,Do an ID,Keep a password secret,2
317,ICT1,ИКТ1,What is the Unmanned Aerial Vehicle?,It is a new type of airplane,It is very small robot,It is a small airplane or helicopter that can fly without an pilot,It is type of artificial intelligence,3
318,ICT1,ИКТ1,"What is used to discover, model, analyze, measure, improve, optimize, and automate business processes",Decision Support System,Managing Business Process Documentation,Business Process. Management,ERP systems,3
319,ICT1,ИКТ1,What is a VPN?,visual private network,virtual private network,virtual private news,virtual paper network,2
320,ICT1,ИКТ1,"What kind of benefits to an organization BPM will provide, if done properly?","Only enforcing best practices, empowering employees, built-in reporting","All conference, enforcing best practices of PC, empowering motherboard, built-in reporting","Only enforcing consistency, enforcing best practices of coding, empowering PC and built-in reporting","Only enforcing consistency, enforcing best practices, empowering employees, built-in reporting",4
321,ICT1,ИКТ1,What kind of chips increases the processing power of a computer by providing the capability of multiple CPUs?,"Chips known only as quad-core (four processors),",Chips known only  as dual-core (two processors),"Chips known as dual-core (two processors) or quad-core (four processors),","Chips known as dual-core (two processors), trio - core (three  processors) or quad-core (four processors)",3
322,ICT1,ИКТ1,What kind of components carries out the commands sent to it by the software and returns results to be acted upon.,central progres unit,Advanced Micro Devices,memory,central processing unit,4
323,ICT1,ИКТ1,What kind of device has generally has a range of 100 to 150 feet?,Bluetooth,CPU,Hard Disk,SSD,1
324,ICT1,ИКТ1,What of the following does not apply to the categories of the various explanations of Productivity Paradox?,Mismeasurement of outputs and inputs,Lags due to learning and adjustment,Redistribution and dissipation of profits,Good results a speed of working,4
325,ICT1,ИКТ1,What organizations require agreement to an acceptable use policy (AUP) before those services can be accessed?,Many organizations that need technology services,organizations that do not provide technology services to people,organizations that provide technology services to an group of constituents or the public,Many organizations providing high-level technology,3
326,ICT1,ИКТ1,"What was invented first, the personal computer or the Internet (ARPANET)?",Internet (ARPANET),personal computer,Neither,both,1
327,ICT2,ИКТ2,What was the main purpose of creating TCP/IP?,integrate different computers located around the country into one network,allow computers wiht different protocols communicate with each other,analyzes packets and then routes them towards their destination,navigate the Internet through the use of hypertext,2
328,ICT2,ИКТ2,What was the mission of OLPC?,increase a level of knowledge in the world.,make children read school books and learn new languages,increase the level of professional users in schools and involve children into global information sharing process,empower the children of developing countries to learn by providing one connected laptop to every school.-age child,4
329,ICT2,ИКТ2,What was the most impactful trend in digital technologies in the last decades?,disseminations of PC,creation of supercomputers,advent of mobile technologies,creating of Internet,3
330,ICT2,ИКТ2,When a mad rush of investments in Internet business led to the dot com boom?,2000,1993,1990,1995,3
331,ICT2,ИКТ2,When Apple introduced the Macintosh computer?,1995,1984,1985,1978,2
332,ICT2,ИКТ2,When computer networking really began?,1970s,1980s,1960s,1940s,3
333,ICT2,ИКТ2,When did Internet technologies begin to pervade all areas of the organization?,1990s,1970s,1980s,1960s,1
334,ICT2,ИКТ2,When Microsoft released the first version of Windows?,1984,1978,1995,1985,4
335,ICT2,ИКТ2,"When the NSF transferred its role to three other organizations, thus getting the US government out of direct control over the Internet and essentially opening up commerce online?",1987,1998,1991,2001,3
336,ICT2,ИКТ2,When was first Bluetooth invented,1980,2000,1990s,1985,3
337,ICT3,ИКТ3,When was the dot-com bust?,1990,1993,1995,2000,4
338,ICT3,ИКТ3,Where it’s illegal to sell everything that is connected with the Nazi?,Germany,Honduras,Chili,Italy,1
339,ICT3,ИКТ3,Which concept determines what resources users can access after they log on?,access control,authentication,defence in depth,auditing,1
340,ICT3,ИКТ3,Which of the following would not gain copyright protection?,recorded speech,videotaped presentation,sci-fi movie,telephone directories,4
341,ICT3,ИКТ3,Which of IP has the format of four numbers between 0 and 255 separated by a period?,IPv2,IPv1,IPv4,IPv0,3
342,ICT3,ИКТ3,Which of the following describes an ERP system?,ERP provides tools to create an information system for increasing the efficiency of the whole enterprise and enable people in different departments to communicate,ERP systems provide a foundation for collaboration with customers and partners,ERP systems have been widely adopted in large organisations to store critical knowledge used to make the decisions that drive the organisation's performance,ERP provides customers with the ability to interact with a common corporate database in real time,3
343,ICT3,ИКТ3,Which of the following is a quantitative variable?,Age,Name,Event name,Eye colour,1
344,ICT3,ИКТ3,Which of the following is an example of the advantages of CRM?,Decreases advertising costs,All answers are correct,Allows greater competition based on service rather than price,Makes it easier to target specific customers,2
345,ICT3,ИКТ3,Which of the following is the least secure method of authentication?,retinal or eye scanner,fingerprint,multi-factor authentication,password,4
346,ICT3,ИКТ3,Which of the following is not Big Data problem?,Trending topic analysis of tweets for last 15 minutes,Calculating student's GPA weighted by credit hours,Processing flights sensor data,Processing Apple Store sales data every 6 hours,2
347,ICT1,ИКТ1,Which of the following is not usually the objective of a Code of Ethics?,Constantly reduce the scale of business,Evaluate the ethical components of the proposed actions of the employees,Improve the public image of the company,Enhance the profits of the business continuously,4
348,ICT1,ИКТ1,Which of the following statements about ERP systems is true?,"ERP integrates finance, HR, manufacturing, supply chain, services, procurement processes into a single system",Most ERP is a technology for managing company’s relationships and interactions with customers and potential customers,ERP system allows businesses to manage business relationships and the data and information associated with them,ERP systems are designed primarily for small businesses,1
349,ICT1,ИКТ1,Which one of the following are not the types of information-systems users?,early adopters and majority,innovators,late majority,improver,4
350,ICT1,ИКТ1,Which part of the Information Security Triad aims to ensure that information is readily accessible and available to authorized users?,Confidentiality,Interconnection,Availability,Integrity,3
351,ICT1,ИКТ1,"""Which part of the Information Security Triad assumes that information can be accessed and modified by anyone authorized to do so in an appropriate timeframe?""",Integrity,Security,Interconnection,Availability,4
352,ICT1,ИКТ1,Which primary activity function performs to bring in raw materials and other needed inputs?,Operations,Procurement,Inbound logistics,Service,3
353,ICT1,ИКТ1,"Which system allows users to brainstorm ideas together without the necessity of physical, face-to-face meeting?",Service Management System,Business Process Management System,Decision Support System,Collaborative System,4
354,ICT1,ИКТ1,Which technologies have had the biggest effect on globalization?,"Bluetooth, IrDA, WI-FI","internet, the graphical interface of Windows","internet, extranet, intranet","hardware, software ,data, process, people",2
355,ICT1,ИКТ1,Which three components of information system belong to the category of technology?,"hardware, data, process","software, people, process","data, people, process","hardware, software, data",4
356,ICT1,ИКТ1,Which tools allow a designer to develop software with little or no programming?,CASE,IDE,SDLC,C++,1
357,ICT2,ИКТ2,Which tools provide comprehensive facilities to computer programmers for software development and assist in writing program?,CASE,IDE,C++,SDLC,2
358,ICT2,ИКТ2,Who creates new programming languages and operating systems?,hardware engineer,systems engineer,software engineer,network engineer,3
359,ICT2,ИКТ2,"Who designs, researches, tests and develops computer and its components?",hardware engineer,software engineer,systems engineer,network engineer,1
360,ICT2,ИКТ2,"Who developed in 1989 a simpler way for researchers to share information over the network at CERN laboratories, a concept that he called the World Wide  Web",Manuel Castells,Nicholas Negroponte,Moore,Tim Berners-Lee,4
361,ICT2,ИКТ2,Who regulated the use of the Internet and in 1991 lifted restrictions on its commercial use.,eBay and Amazon,National Science Foundation,CERN laboratories,MRP software,2
362,ICT2,ИКТ2,Who works with the stakeholders of the project to keep the team organized and communicates the status of the project to management,functional manager,system analyst,project manager,CIO,3
